artist_id,song_id,danceability,duration_ms,energy,key,loudness,acousticness,instrumentalness,liveness,valence,tempo
7dGJo4pcD2V6oG8kP0tJRR,5Z01UMMf7V1o0MzF86s6WJ,0.698,326467.0,0.732,2.0,-4.522,0.00704,0.000647,0.359,0.0689,171.431
7dGJo4pcD2V6oG8kP0tJRR,48RrDBpOSSl1aLVCalGl5C,0.786,250189.0,0.857,9.0,-3.765,0.0514,0.0,0.112,0.581,110.038
4OBJLual30L7gRl5UkeRcT,4UwtMoKBvYi0mMbH2ZI3uB,0.496,318360.0,0.785,7.0,-3.472,0.0328,0.0,0.0941,0.357,170.02
4OBJLual30L7gRl5UkeRcT,1k2NovMHKHhgGsHxg0aYAS,0.713,299747.0,0.746,0.0,-4.99,0.0402,0.0,0.601,0.47,135.021
01QTIT5P1pFP3QnnFSdsJf,1hWYT0w2R0J19rlVkiez7X,0.517,250320.0,0.811,5.0,-4.526,0.186,0.0,0.105,0.494,168.269
01QTIT5P1pFP3QnnFSdsJf,4NTWZqvfQTlOMitlVn6tew,0.591,239613.0,0.889,7.0,-3.839,0.0189,0.0,0.155,0.65,143.067
53XhwfbYqKCa1cC15pYq2q,4G8gkOterJn0Ywt6uhqbhp,0.478,186813.0,0.799,9.0,-3.614,0.126,0.000106,0.76,0.176,136.268
53XhwfbYqKCa1cC15pYq2q,3LlAyCYU26dvFZBDUIMb7a,0.499,175200.0,0.73,3.0,-2.831,0.23,0.00018,0.378,0.381,90.058
53XhwfbYqKCa1cC15pYq2q,2AGP16NS5LsvnskU9PdafD,0.26,170067.0,0.823,4.0,-6.216,0.0815,0.00223,0.204,0.307,78.772
53XhwfbYqKCa1cC15pYq2q,0Hl7Z3TIEgY0JSbQNDM4ZA,0.565,272680.0,0.547,0.0,-7.707,0.0029,0.0634,0.155,0.0986,112.991
3hozsZ9hqNq7CoBGYNlFTz,1pHP4JeQV9wDx87D6qH9hD,0.537,179813.0,0.882,0.0,-2.306,0.000342,9.06e-05,0.12,0.81,145.729
3AA28KZvwAUcZuOKwyblJQ,0d28khcov6AiegSCpG5TuT,0.818,222640.0,0.705,6.0,-6.679,0.00836,0.00233,0.613,0.772,138.559
04gDigrS5kc9YWfZHwBETP,5eWgDlp3k6Tb5RD8690s6I,0.744,235493.0,0.783,1.0,-7.077,0.0553,0.0,0.086,0.885,120.042
04gDigrS5kc9YWfZHwBETP,4XNrMwGx1SqP01sqkGTDmo,0.71,219467.0,0.8,5.0,-3.439,0.0563,0.0,0.0834,0.635,93.01
1Cs0zKBU1kc0i8ypK3B9ai,3cxp8tr7XAExMiwxdKlCeA,0.718,192663.0,0.873,6.0,-3.268,0.00898,2.06e-05,0.354,0.666,128.033
7e2Y9hVc8xYb6sDCPQszCe,3YxOB0Zd3yrw0N2jbKwIA0,0.272,258000.0,0.95,1.0,-4.269,0.00101,0.932,0.286,0.119,95.198
5ndkK3dpZLKtBklKjxNQwT,2bnDTGikdoO8CwzlAPyBHR,0.665,319293.0,0.878,6.0,-4.745,0.00325,0.0,0.0663,0.394,93.047
5ndkK3dpZLKtBklKjxNQwT,6lV2MSQmRIkycDScNtrBXO,0.66,180480.0,0.867,6.0,-4.285,0.11,0.0,0.0368,0.377,93.033
5ndkK3dpZLKtBklKjxNQwT,03kA9Yu3y69Vxo5I3HxeNd,0.701,227787.0,0.754,0.0,-4.556,0.00537,0.0,0.202,0.619,94.05
1vCWHaC5f2uS3yhpwWbIA6,4h8VwCb1MTGoLKueQ1WgbD,0.518,247427.0,0.784,2.0,-5.659,0.00346,0.00187,0.171,0.588,124.102
1vCWHaC5f2uS3yhpwWbIA6,4RXpgGM7A4Hg7cFBoH5KyF,0.537,255093.0,0.777,7.0,-4.829,0.0279,6.12e-05,0.0838,0.427,124.943
1vCWHaC5f2uS3yhpwWbIA6,5QjJgPU8AJeickx34f7on6,0.605,199904.0,0.873,1.0,-5.938,0.0534,0.837,0.314,0.476,126.026
